Locality,Property_Type,Area_sqft,Bedrooms,Bathrooms,Balconies,Floor,Total_Floors,Property_Age,Furnished,Parking,Lift,Power_Backup,Security,Gym,Swimming_Pool,Distance_Metro_km,Distance_School_km,Distance_Hospital_km,Facing,Water_Supply,Latitude,Longitude,Price_Lakhs
Rajendra Nagar,Apartment,990,2,1,1,2,2,2,Fully Furnished,0,Yes,No,Yes,No,Yes,0.53,7.76,5.39,North-West,12 Hours,17.288225,78.461231,53.92
Osman Nagar,Apartment,903,2,1,2,9,19,21,Semi-Furnished,0,No,No,Yes,No,Yes,5.19,3.08,1.24,North-East,24x7,17.393697,78.401247,50.12
Ameenpur,Independent House,1777,3,4,0,0,3,19,Unfurnished,2,Yes,Yes,No,Yes,No,2.06,6.51,1.54,West,12 Hours,17.328556,78.522108,94.09
Suchitra,Apartment,1813,3,4,2,5,5,13,Unfurnished,0,Yes,No,No,No,Yes,13.79,6.81,1.07,West,24x7,17.397375,78.534877,79.0
Bachupally,Builder Floor,764,1,2,1,5,11,20,Semi-Furnished,2,No,Yes,Yes,Yes,Yes,6.13,2.67,3.29,North-East,12 Hours,17.356106,78.548472,34.57
Chandanagar,Apartment,1878,3,2,2,0,7,10,Fully Furnished,2,No,Yes,No,Yes,Yes,6.82,2.08,1.95,South-West,12 Hours,17.399243,78.53578,107.7
Kondapur,Independent House,1678,3,3,0,1,2,18,Unfurnished,1,No,Yes,No,No,No,1.82,2.7,3.89,North-West,24x7,17.345554,78.478569,111.98
Bowenpally,Apartment,1097,2,2,0,9,18,4,Semi-Furnished,2,No,Yes,Yes,Yes,Yes,13.42,5.05,6.61,South-West,24x7,17.470984,78.495717,71.25
Punjagutta,Apartment,984,2,2,0,10,10,10,Semi-Furnished,2,Yes,Yes,Yes,No,No,14.4,6.95,1.8,North-West,24x7,17.465655,78.406409,71.98
Nizampet,Villa,883,2,2,0,0,1,3,Unfurnished,0,No,No,No,No,Yes,1.71,2.21,6.6,East,12 Hours,17.42678,78.551449,47.14
Shamshabad,Independent House,2185,4,3,1,0,14,23,Semi-Furnished,2,No,No,No,No,Yes,5.6,5.47,4.64,North-East,24x7,17.368021,78.404568,87.11
Nizampet,Apartment,1072,2,2,2,12,20,14,Unfurnished,2,No,No,Yes,Yes,No,7.84,7.58,4.71,West,Limited,17.331147,78.444939,51.33
Ramanthapur,Apartment,2064,4,4,1,0,2,2,Unfurnished,1,Yes,No,Yes,Yes,No,14.01,5.88,2.74,North,24x7,17.300105,78.552216,103.23
Kondapur,Apartment,888,2,3,1,15,20,9,Fully Furnished,1,No,No,Yes,No,Yes,2.12,7.97,8.17,North-West,24x7,17.404213,78.40463,73.44
Mehdipatnam,Apartment,972,2,1,0,3,16,10,Fully Furnished,1,No,Yes,Yes,No,No,2.39,3.4,2.19,North-East,12 Hours,17.30294,78.579009,60.21
Hayathnagar,Independent House,1411,3,4,0,7,9,20,Fully Furnished,1,No,Yes,Yes,No,No,9.59,0.82,9.76,South-West,Limited,17.376927,78.431421,55.98
Tukkuguda,Apartment,799,1,1,1,2,6,9,Unfurnished,1,Yes,No,No,No,Yes,4.66,4.45,4.27,South-West,24x7,17.353919,78.418897,30.37
Hayathnagar,Apartment,636,1,2,1,4,8,14,Semi-Furnished,1,No,No,No,No,Yes,7.21,2.11,9.88,West,Limited,17.473755,78.387466,25.53
Kothapet,Apartment,1491,3,2,1,4,11,20,Fully Furnished,1,No,No,No,Yes,No,9.22,5.84,5.02,South-West,Limited,17.47269,78.420917,62.58
Ameerpet,Apartment,957,2,1,0,3,3,6,Unfurnished,1,Yes,Yes,No,Yes,No,9.02,1.14,2.24,North-West,12 Hours,17.399037,78.559069,62.68
Tellapur,Apartment,1253,2,2,1,3,4,15,Semi-Furnished,2,No,No,No,Yes,No,4.97,1.5,8.85,North-East,24x7,17.483913,78.522534,68.09
Ameerpet,Apartment,928,2,1,0,0,5,8,Unfurnished,0,No,No,No,Yes,No,2.85,2.92,7.28,West,Limited,17.483566,78.468279,49.16
Dilsukhnagar,Apartment,1662,3,3,3,2,6,1,Unfurnished,2,Yes,Yes,Yes,No,No,10.95,7.92,2.35,North,24x7,17.396576,78.447562,94.36
Banjara Hills,Independent House,840,1,2,0,8,11,16,Semi-Furnished,1,No,Yes,Yes,No,No,8.92,2.34,1.48,East,24x7,17.285286,78.476617,107.12
Hafeezpet,Apartment,1056,2,1,1,1,2,4,Unfurnished,0,Yes,No,Yes,No,No,2.31,3.2,6.11,North,Limited,17.399463,78.586541,54.48
Hitech City,Apartment,891,2,2,2,4,7,5,Unfurnished,0,No,Yes,No,Yes,Yes,11.96,0.65,4.83,North,24x7,17.341091,78.41865,90.48
Pocharam,Apartment,2591,4,4,1,7,13,9,Unfurnished,2,No,Yes,Yes,No,No,14.77,5.62,4.98,South-West,24x7,17.342037,78.545268,101.04
Kothapet,Apartment,655,1,1,1,5,6,18,Unfurnished,0,Yes,No,Yes,Yes,Yes,7.25,2.88,3.06,East,12 Hours,17.480017,78.433158,29.79
Alwal,Apartment,1198,2,3,2,6,9,1,Semi-Furnished,0,Yes,No,Yes,No,No,5.21,2.69,4.94,South,24x7,17.350651,78.409268,69.38
Rajendra Nagar,Apartment,1002,2,3,0,9,13,23,Unfurnished,1,No,No,Yes,Yes,Yes,14.49,6.9,6.79,North-West,12 Hours,17.412221,78.419646,48.65
Kondapur,Independent House,1471,3,3,3,1,15,5,Fully Furnished,2,No,No,Yes,No,Yes,3.48,3.48,8.36,North,24x7,17.342452,78.534059,153.34
Malkajgiri,Apartment,1606,3,2,2,11,18,2,Unfurnished,2,Yes,No,No,No,Yes,3.05,1.73,4.34,West,24x7,17.482856,78.397649,81.47
Ghatkesar,Apartment,1158,2,2,2,5,15,25,Fully Furnished,0,No,No,Yes,Yes,Yes,13.26,4.97,9.28,South,Limited,17.38138,78.487327,41.54
Raidurg,Apartment,1689,3,4,0,12,16,11,Fully Furnished,1,Yes,Yes,No,No,Yes,6.82,0.41,6.06,South,24x7,17.430848,78.561649,173.5
Old Alwal,Apartment,1399,3,4,1,13,13,20,Unfurnished,1,Yes,No,No,No,No,9.84,0.48,9.47,South-West,Limited,17.446019,78.556816,50.55
Tarnaka,Apartment,645,1,1,1,0,12,19,Unfurnished,2,No,Yes,No,No,Yes,9.47,4.61,2.73,South,12 Hours,17.450178,78.447401,34.32
ECIL,Apartment,1091,2,2,1,3,6,18,Unfurnished,2,Yes,Yes,No,No,No,4.27,4.14,4.46,North,Limited,17.348383,78.480177,41.71
Bowenpally,Independent House,2223,4,4,1,0,10,21,Semi-Furnished,0,Yes,No,Yes,No,Yes,10.14,0.5,8.09,East,Limited,17.477322,78.449269,115.61
Champapet,Apartment,1436,3,4,1,4,15,8,Semi-Furnished,1,Yes,Yes,No,No,No,2.47,4.06,8.07,South-West,24x7,17.390363,78.39812,56.34
Kollur,Independent House,2687,5,5,2,0,2,12,Fully Furnished,2,Yes,Yes,No,No,No,1.9,5.73,4.25,West,12 Hours,17.328878,78.47957,121.37
Uppal,Independent House,1153,2,2,0,3,8,18,Semi-Furnished,1,Yes,No,No,No,Yes,9.8,3.43,7.57,South-West,24x7,17.444938,78.534595,54.41
Manikonda,Apartment,1837,4,3,3,1,5,23,Fully Furnished,0,Yes,No,No,No,No,12.98,6.27,9.4,South-East,Limited,17.351741,78.449994,97.79
Himayat Nagar,Independent House,2169,4,5,2,9,12,19,Fully Furnished,0,No,No,No,No,Yes,11.24,1.36,4.09,North-East,Limited,17.295414,78.389264,186.91
Abids,Apartment,1080,2,1,2,3,9,21,Semi-Furnished,0,No,Yes,No,Yes,No,3.36,4.13,4.96,North-East,Limited,17.380429,78.412876,68.4
Kollur,Apartment,1896,3,3,1,4,4,15,Unfurnished,2,Yes,Yes,Yes,No,No,3.46,3.79,1.46,North,Limited,17.471501,78.558601,75.58
Saroornagar,Independent House,1109,2,2,0,3,6,3,Unfurnished,1,No,Yes,No,Yes,Yes,5.11,3.58,2.42,North-East,24x7,17.381445,78.490765,60.9
Neredmet,Apartment,1766,4,5,1,5,7,8,Semi-Furnished,2,Yes,No,No,Yes,Yes,14.08,5.18,9.48,North,12 Hours,17.478154,78.429754,79.29
Puppalaguda,Independent House,1344,3,3,0,8,13,4,Fully Furnished,2,No,No,Yes,Yes,No,5.53,1.21,5.79,West,Limited,17.324449,78.429407,100.5
Patancheru,Builder Floor,940,2,2,1,19,20,6,Unfurnished,1,No,Yes,No,No,Yes,3.4,7.39,9.68,West,24x7,17.366,78.573009,40.85
Pocharam,Apartment,1070,2,1,1,1,1,8,Unfurnished,0,No,Yes,No,Yes,No,7.31,1.28,7.16,South-West,24x7,17.387305,78.570404,49.97
Kismatpur,Builder Floor,1378,3,2,3,9,17,0,Fully Furnished,2,No,No,Yes,No,No,14.8,6.88,3.09,South-East,24x7,17.316306,78.460028,77.67
Pragathi Nagar,Apartment,2972,5,5,3,11,11,22,Fully Furnished,1,No,No,No,Yes,Yes,9.31,1.41,3.95,South,24x7,17.316879,78.580304,134.77
Khairatabad,Independent House,1279,2,1,1,2,4,22,Unfurnished,2,No,Yes,Yes,No,Yes,12.76,3.97,3.17,South-West,12 Hours,17.31839,78.410931,88.37
Tukkuguda,Apartment,916,2,2,2,2,2,11,Semi-Furnished,0,No,Yes,Yes,No,No,2.83,6.12,2.27,West,24x7,17.466889,78.425425,27.67
Adibatla,Builder Floor,1421,3,3,1,8,12,22,Fully Furnished,2,No,Yes,No,No,No,4.08,3.09,9.35,North,24x7,17.37477,78.506502,59.34
Patancheru,Builder Floor,1204,2,3,0,6,14,5,Fully Furnished,1,Yes,Yes,No,Yes,No,5.88,1.93,6.55,North-West,12 Hours,17.330352,78.572998,55.71
Kismatpur,Villa,1635,3,3,1,8,20,17,Semi-Furnished,0,Yes,No,Yes,No,No,10.57,2.43,4.74,South,Limited,17.441258,78.39058,80.72
Begumpet,Apartment,2421,4,3,2,0,6,11,Semi-Furnished,1,Yes,No,No,No,Yes,5.01,1.4,9.56,North-West,12 Hours,17.410592,78.441738,174.47
Madhapur,Apartment,1362,3,4,3,0,1,11,Semi-Furnished,1,No,No,Yes,Yes,No,11.95,5.37,4.69,South-West,12 Hours,17.411778,78.401081,128.95
Patancheru,Apartment,1185,2,2,0,9,20,0,Semi-Furnished,0,Yes,No,No,Yes,No,11.03,2.39,7.27,West,12 Hours,17.476553,78.402242,38.5
Dilsukhnagar,Apartment,1150,2,2,1,1,3,19,Unfurnished,0,Yes,No,Yes,Yes,Yes,4.91,2.28,6.91,South-West,24x7,17.345673,78.465268,52.74
Badangpet,Independent House,2859,5,5,1,16,16,6,Fully Furnished,2,Yes,No,No,No,No,10.68,2.56,4.08,North-East,12 Hours,17.400614,78.578296,104.26
Tolichowki,Apartment,1451,3,3,3,1,11,18,Unfurnished,0,No,Yes,Yes,Yes,No,1.79,0.62,4.51,East,12 Hours,17.301583,78.5107,69.72
Sainikpuri,Villa,1147,2,1,0,10,12,23,Fully Furnished,0,No,Yes,No,No,Yes,3.46,5.83,6.69,East,Limited,17.456185,78.473636,75.34
Khajaguda,Independent House,901,2,2,0,10,13,0,Semi-Furnished,2,Yes,Yes,Yes,Yes,No,7.19,5.19,5.45,West,Limited,17.323221,78.540453,70.52
Saroornagar,Apartment,2254,4,4,3,15,19,0,Fully Furnished,0,No,No,No,Yes,No,6.63,2.38,1.11,West,Limited,17.438447,78.427877,98.89
Miyapur,Apartment,1389,3,4,1,18,19,22,Semi-Furnished,0,No,Yes,Yes,Yes,No,14.53,1.41,2.64,South-West,Limited,17.378097,78.575339,62.94
Raidurg,Apartment,1815,3,2,1,11,20,24,Semi-Furnished,0,No,Yes,No,Yes,Yes,0.86,6.85,5.07,South,24x7,17.326374,78.458344,157.88
Neredmet,Builder Floor,960,2,2,2,0,2,22,Semi-Furnished,2,No,No,Yes,Yes,No,8.44,5.88,7.52,East,24x7,17.386997,78.478817,43.34
Khajaguda,Apartment,2531,4,4,2,4,10,17,Semi-Furnished,1,Yes,Yes,No,No,Yes,5.81,6.45,8.32,South-West,24x7,17.471001,78.463413,188.65
Isnapur,Apartment,1662,3,4,2,19,20,1,Unfurnished,1,No,Yes,Yes,Yes,Yes,3.05,5.62,1.51,East,24x7,17.464247,78.548042,56.06
Ghatkesar,Apartment,626,1,2,0,10,20,14,Semi-Furnished,1,Yes,Yes,No,Yes,No,1.31,0.73,7.75,South-East,Limited,17.349012,78.471055,19.08
Film Nagar,Apartment,1048,2,3,1,5,18,3,Unfurnished,1,No,No,Yes,Yes,Yes,3.6,3.11,8.96,North-West,Limited,17.324914,78.394257,106.97
Maheshwaram,Builder Floor,2058,4,5,1,1,3,19,Fully Furnished,1,Yes,No,No,Yes,No,7.73,7.37,7.73,South-East,24x7,17.337502,78.397169,85.66
Champapet,Apartment,999,2,2,2,14,14,9,Semi-Furnished,1,No,No,No,No,No,10.98,2.78,5.83,North-West,24x7,17.445383,78.556998,40.19
Pocharam,Independent House,1486,3,3,0,2,4,18,Fully Furnished,0,No,Yes,No,No,No,0.54,7.02,4.54,South-East,Limited,17.368214,78.582271,72.95
Nampally,Independent House,1506,3,4,3,1,1,7,Fully Furnished,2,Yes,No,Yes,No,Yes,6.55,6.18,3.64,North,24x7,17.328072,78.445073,78.93
Shamshabad,Apartment,944,2,2,2,0,1,18,Fully Furnished,2,No,No,No,Yes,No,5.98,2.8,7.33,North-East,Limited,17.360873,78.568867,33.0
ECIL,Villa,1522,3,2,1,10,20,8,Semi-Furnished,2,Yes,No,Yes,Yes,No,7.75,5.39,5.92,West,12 Hours,17.367389,78.573582,94.09
Abids,Builder Floor,2360,4,4,1,4,5,22,Semi-Furnished,2,No,Yes,Yes,Yes,Yes,1.45,0.99,6.84,South-West,24x7,17.327055,78.499878,139.23
Kondapur,Villa,957,2,3,0,17,19,19,Fully Furnished,0,Yes,No,Yes,No,No,9.27,3.3,8.57,South-West,Limited,17.292912,78.467308,78.66
Hitech City,Independent House,1575,3,3,2,5,10,19,Fully Furnished,1,Yes,Yes,Yes,No,Yes,0.74,4.22,3.3,West,Limited,17.424614,78.514328,207.79
Habsiguda,Apartment,788,1,2,0,5,11,1,Fully Furnished,1,No,Yes,No,Yes,Yes,8.82,3.83,8.43,South-West,24x7,17.303704,78.472122,44.64
Balapur,Apartment,755,1,1,1,8,19,3,Unfurnished,1,Yes,Yes,No,Yes,No,12.79,2.71,7.88,North-West,Limited,17.474525,78.481734,27.21
Hayathnagar,Apartment,1619,3,3,1,9,14,21,Unfurnished,1,No,No,Yes,No,Yes,12.84,5.27,5.22,West,24x7,17.438261,78.48629,52.0
Hafeezpet,Apartment,1873,3,3,0,8,20,11,Fully Furnished,2,No,Yes,No,No,Yes,10.71,4.93,8.87,North-West,Limited,17.447394,78.56013,118.6
Nacharam,Apartment,1293,2,2,2,1,3,23,Fully Furnished,2,No,No,Yes,Yes,Yes,9.63,5.4,8.62,West,24x7,17.294393,78.499965,56.84
Suchitra,Apartment,1863,4,4,1,2,4,7,Unfurnished,1,Yes,No,Yes,No,Yes,2.6,4.17,7.83,South-East,24x7,17.312301,78.432434,99.52
Dilsukhnagar,Independent House,1241,3,2,1,1,6,23,Unfurnished,2,Yes,Yes,Yes,No,No,8.03,5.37,7.3,North-West,24x7,17.289024,78.537245,70.63
Ghatkesar,Independent House,1300,3,4,2,11,19,15,Unfurnished,0,No,Yes,No,Yes,Yes,10.7,6.97,2.27,North-East,24x7,17.374354,78.388119,55.38
Malkajgiri,Apartment,1752,3,3,0,7,8,15,Fully Furnished,1,Yes,No,Yes,Yes,Yes,12.67,5.99,4.99,North,12 Hours,17.356965,78.494853,76.99
Manikonda,Apartment,1027,2,1,0,8,14,5,Unfurnished,0,Yes,No,Yes,No,No,8.52,7.99,4.34,West,24x7,17.425526,78.577896,63.5
Jubilee Hills,Apartment,1113,2,2,0,2,5,0,Semi-Furnished,2,No,No,No,No,Yes,6.14,6.68,1.71,South,Limited,17.364944,78.577441,176.34
Gachibowli,Villa,988,2,2,2,8,13,22,Fully Furnished,1,Yes,Yes,Yes,No,No,5.66,5.45,7.35,North-East,Limited,17.34463,78.411993,108.06
Kollur,Apartment,1874,3,2,2,8,16,25,Semi-Furnished,0,Yes,No,No,No,Yes,8.75,4.82,9.44,South-East,12 Hours,17.357436,78.518794,81.71
Old Alwal,Apartment,1260,2,2,1,8,10,2,Semi-Furnished,2,No,Yes,No,Yes,No,4.82,2.75,0.66,South,24x7,17.324786,78.507037,59.93
Alwal,Apartment,1358,3,2,1,3,20,7,Semi-Furnished,2,No,No,No,Yes,Yes,7.57,4.02,9.99,South-West,Limited,17.367668,78.496023,53.9
Masab Tank,Independent House,909,2,2,1,0,1,16,Fully Furnished,0,No,Yes,Yes,No,No,2.49,2.07,8.72,South-West,24x7,17.434734,78.552285,59.1
Neredmet,Villa,1553,3,3,3,2,2,1,Semi-Furnished,0,Yes,Yes,No,No,Yes,3.78,3.17,1.42,East,Limited,17.292763,78.425526,88.26
Vanasthalipuram,Builder Floor,1032,2,2,1,2,8,2,Fully Furnished,2,No,No,Yes,Yes,No,11.6,4.64,7.05,West,Limited,17.471964,78.553691,49.0
Narsingi,Builder Floor,1385,3,2,3,7,18,9,Unfurnished,2,Yes,No,No,Yes,Yes,10.04,4.83,6.73,North-West,12 Hours,17.345642,78.47259,105.71
Pragathi Nagar,Apartment,1301,3,4,1,1,1,1,Fully Furnished,2,Yes,Yes,No,Yes,No,11.74,6.68,9.73,East,24x7,17.316474,78.392914,71.59
Patancheru,Apartment,2170,4,4,0,3,13,7,Unfurnished,1,Yes,Yes,No,Yes,No,4.19,4.17,8.47,East,12 Hours,17.333143,78.43469,72.24
Osman Nagar,Villa,1103,2,3,2,0,3,4,Semi-Furnished,0,Yes,No,Yes,No,No,9.95,3.07,10.0,South-West,12 Hours,17.470702,78.502647,57.66
Balapur,Independent House,1267,2,2,0,3,3,15,Fully Furnished,2,No,Yes,No,No,No,12.89,0.73,1.51,East,24x7,17.467315,78.455824,62.31
Malkajgiri,Builder Floor,1677,3,4,3,0,2,21,Unfurnished,0,Yes,No,Yes,No,No,5.83,0.49,0.82,South,12 Hours,17.29276,78.424055,73.98
Hayathnagar,Apartment,1149,2,3,2,8,8,8,Semi-Furnished,2,Yes,No,No,Yes,No,3.79,0.67,2.18,North,Limited,17.438354,78.456829,46.45
Hayathnagar,Apartment,1286,2,3,0,1,11,2,Unfurnished,2,Yes,Yes,Yes,Yes,Yes,6.02,2.09,0.73,East,12 Hours,17.391711,78.386748,48.85
Isnapur,Apartment,2392,4,4,1,4,5,5,Semi-Furnished,1,No,No,No,No,No,3.73,0.89,6.22,North-East,12 Hours,17.326646,78.436797,81.63
Bandlaguda Jagir,Apartment,1031,2,2,0,7,7,5,Semi-Furnished,1,No,No,No,Yes,Yes,6.44,5.67,4.2,South-West,12 Hours,17.340935,78.425004,44.95
Neredmet,Apartment,1543,3,3,1,2,10,22,Unfurnished,1,No,No,Yes,No,No,9.26,4.4,4.07,South,12 Hours,17.458129,78.43497,71.13
Adibatla,Villa,646,1,1,1,1,8,3,Semi-Furnished,0,Yes,No,No,No,Yes,13.38,4.66,4.02,West,24x7,17.356281,78.53623,32.51
Punjagutta,Independent House,897,2,2,0,3,9,20,Semi-Furnished,2,Yes,No,Yes,Yes,No,8.15,6.06,8.98,South,12 Hours,17.448359,78.578618,70.23
Somajiguda,Apartment,1241,2,3,2,15,19,8,Unfurnished,1,No,Yes,Yes,No,Yes,6.08,1.59,5.04,South-East,Limited,17.405761,78.485368,100.11
Balapur,Villa,1263,3,4,3,5,16,24,Semi-Furnished,0,Yes,Yes,No,Yes,No,14.47,4.32,7.89,North-East,12 Hours,17.481864,78.463396,50.52
Puppalaguda,Builder Floor,1427,3,3,2,7,14,2,Fully Furnished,2,Yes,No,No,Yes,Yes,6.87,1.11,8.83,North,Limited,17.418342,78.443558,109.57
Mehdipatnam,Apartment,1012,2,1,2,11,16,14,Unfurnished,1,Yes,Yes,Yes,Yes,No,1.61,5.57,0.69,North-East,12 Hours,17.402354,78.475846,69.3
Puppalaguda,Builder Floor,1138,2,2,0,0,2,13,Semi-Furnished,1,Yes,No,Yes,Yes,No,1.08,7.69,4.83,South,24x7,17.337993,78.476427,83.55
Ghatkesar,Apartment,985,2,3,1,1,19,17,Semi-Furnished,1,Yes,No,Yes,Yes,No,12.13,6.42,4.75,North,12 Hours,17.417725,78.543494,28.81
Habsiguda,Apartment,754,1,2,1,0,10,0,Fully Furnished,2,No,Yes,Yes,Yes,Yes,5.87,5.5,7.93,South-East,Limited,17.414209,78.416822,37.44
Saroornagar,Apartment,723,1,1,1,0,2,15,Unfurnished,0,Yes,Yes,Yes,Yes,Yes,11.01,1.6,4.26,South,Limited,17.361612,78.532604,29.8
Punjagutta,Independent House,589,1,1,1,6,19,25,Semi-Furnished,2,Yes,Yes,No,No,No,9.43,7.24,8.51,East,24x7,17.326037,78.484117,38.79
Shamshabad,Apartment,1635,3,3,1,4,18,23,Unfurnished,1,Yes,No,No,Yes,No,7.85,3.27,4.61,North,24x7,17.390451,78.572674,63.39
Ghatkesar,Villa,1017,2,2,1,12,20,10,Semi-Furnished,0,Yes,No,Yes,Yes,Yes,13.78,6.72,3.0,East,12 Hours,17.38309,78.410649,36.12
Abids,Independent House,1300,2,2,1,2,5,20,Unfurnished,1,Yes,Yes,No,Yes,Yes,2.17,3.86,3.54,South-West,12 Hours,17.334393,78.566622,93.23
Miyapur,Apartment,596,1,1,0,0,1,3,Fully Furnished,1,No,No,No,No,No,8.01,1.59,5.35,South-West,Limited,17.473662,78.490746,30.17
Miyapur,Apartment,2006,4,5,1,2,2,18,Semi-Furnished,1,No,No,No,Yes,No,0.96,1.51,8.02,South-East,Limited,17.440703,78.412903,111.14
Kokapet,Apartment,1325,3,4,2,10,20,8,Semi-Furnished,2,No,No,No,No,No,7.2,7.59,2.83,South-West,24x7,17.29186,78.486213,90.19
Sainikpuri,Apartment,1416,3,3,3,2,7,25,Unfurnished,1,No,No,No,No,No,2.36,6.93,7.8,North-East,12 Hours,17.321585,78.45971,64.59
Himayat Nagar,Apartment,565,1,1,0,2,4,7,Semi-Furnished,1,No,No,No,Yes,Yes,14.76,1.96,9.81,North-East,12 Hours,17.409634,78.401586,44.87
Nizampet,Apartment,1365,3,3,3,12,12,15,Fully Furnished,1,No,Yes,Yes,Yes,Yes,2.14,2.09,6.54,South-East,24x7,17.321525,78.501495,75.12
Raidurg,Apartment,1208,3,2,2,0,3,2,Semi-Furnished,2,Yes,No,Yes,Yes,Yes,5.63,4.99,2.02,West,24x7,17.396342,78.534359,121.38
Saroornagar,Villa,2045,4,3,0,3,13,19,Semi-Furnished,2,No,Yes,No,No,Yes,2.25,6.48,1.11,West,24x7,17.438021,78.473253,118.8
Patancheru,Villa,857,2,1,0,15,15,7,Unfurnished,0,No,No,No,No,Yes,6.97,3.48,2.29,East,Limited,17.41462,78.390372,39.41
Chandanagar,Villa,2592,4,5,3,11,14,7,Fully Furnished,2,Yes,Yes,No,Yes,Yes,11.33,3.83,2.67,South-West,24x7,17.408717,78.448669,175.86
Puppalaguda,Villa,2142,4,4,1,7,19,0,Semi-Furnished,2,No,No,Yes,No,Yes,7.84,1.85,9.1,West,12 Hours,17.303187,78.571345,152.99
Begumpet,Apartment,1520,3,3,0,8,12,9,Fully Furnished,1,No,Yes,No,No,No,2.44,4.21,6.1,North,Limited,17.310421,78.458045,109.46
Khairatabad,Apartment,2269,4,4,1,5,10,11,Fully Furnished,1,Yes,No,Yes,Yes,Yes,0.64,2.61,6.12,South-East,24x7,17.452114,78.395432,195.86
Boduppal,Apartment,1580,3,3,0,7,12,22,Fully Furnished,2,No,No,Yes,No,Yes,12.82,1.96,5.88,South,Limited,17.46295,78.388533,63.05
Madhapur,Apartment,1027,2,2,0,10,20,21,Unfurnished,2,No,No,Yes,No,No,10.19,1.98,2.17,North-West,24x7,17.476805,78.50938,98.38
Vanasthalipuram,Independent House,1325,3,3,0,0,4,14,Semi-Furnished,0,No,Yes,Yes,No,Yes,6.46,7.17,8.41,North,24x7,17.298398,78.392338,75.81
Manikonda,Apartment,962,2,3,2,2,16,14,Unfurnished,0,No,Yes,No,Yes,Yes,13.75,6.33,3.15,North,12 Hours,17.461297,78.469883,50.88
Peerzadiguda,Apartment,1403,3,3,0,1,14,24,Unfurnished,0,Yes,No,No,No,Yes,10.17,3.94,3.64,North-West,24x7,17.468657,78.468308,50.77
Ameenpur,Independent House,775,1,1,0,6,13,19,Fully Furnished,0,Yes,No,No,No,No,4.72,3.54,8.31,South,24x7,17.388424,78.568317,34.21
Kondapur,Apartment,1754,3,3,2,0,1,12,Fully Furnished,0,Yes,Yes,No,Yes,Yes,11.38,3.45,2.11,North-West,Limited,17.298166,78.525215,123.08
Somajiguda,Apartment,1637,3,3,3,1,3,22,Unfurnished,1,Yes,No,Yes,No,No,10.38,7.64,3.43,South,24x7,17.466493,78.411196,115.85
Pocharam,Apartment,1195,2,3,2,15,16,9,Unfurnished,2,No,No,No,Yes,Yes,1.91,2.18,7.7,North-West,24x7,17.460893,78.468705,59.8
Mallapur,Apartment,1030,2,3,2,12,17,12,Unfurnished,1,Yes,Yes,No,Yes,No,10.93,3.24,4.55,South-East,Limited,17.299092,78.442329,42.4
Isnapur,Apartment,2428,4,4,3,0,3,13,Fully Furnished,2,No,No,No,Yes,Yes,6.09,7.83,5.22,West,Limited,17.474024,78.443233,83.11
Kokapet,Apartment,683,1,1,1,9,17,16,Unfurnished,1,No,Yes,Yes,Yes,Yes,8.51,5.59,0.57,South-West,24x7,17.419261,78.419137,48.68
Nizampet,Villa,960,2,2,1,0,3,16,Fully Furnished,2,Yes,Yes,No,Yes,Yes,6.49,0.32,8.55,West,12 Hours,17.432708,78.560071,63.93
Nagole,Independent House,866,2,3,2,10,15,23,Unfurnished,0,No,Yes,No,Yes,No,2.37,4.29,2.64,West,12 Hours,17.418811,78.411957,45.55
Himayat Nagar,Independent House,1700,3,3,0,1,7,19,Semi-Furnished,1,Yes,Yes,Yes,No,Yes,10.84,6.41,5.14,South-East,24x7,17.311515,78.541635,152.46
Himayat Nagar,Apartment,1875,3,3,0,1,3,10,Semi-Furnished,1,No,Yes,No,Yes,Yes,7.11,3.91,7.79,North-East,Limited,17.471719,78.530692,140.31
Habsiguda,Apartment,1899,4,4,0,5,8,0,Unfurnished,0,No,No,Yes,No,No,14.88,3.5,6.53,South-West,12 Hours,17.328812,78.475308,95.42
Begumpet,Apartment,1212,2,2,2,0,5,16,Semi-Furnished,0,Yes,Yes,Yes,No,No,7.9,7.53,9.6,North-East,24x7,17.438995,78.407492,92.55
Nanakramguda,Independent House,956,2,2,2,5,13,1,Fully Furnished,2,No,No,No,No,Yes,8.41,6.38,3.28,South-West,24x7,17.463044,78.44077,94.42
Ameerpet,Apartment,1856,3,3,2,0,3,13,Semi-Furnished,1,Yes,No,No,No,No,6.62,1.51,7.27,East,12 Hours,17.388665,78.479061,105.39
Tukkuguda,Villa,1938,4,4,3,15,15,14,Semi-Furnished,1,Yes,Yes,No,Yes,No,13.58,6.07,7.74,North,Limited,17.401194,78.532678,63.95
Jubilee Hills,Apartment,1736,4,4,2,5,17,15,Fully Furnished,2,Yes,No,Yes,Yes,Yes,3.56,5.42,4.65,South-East,12 Hours,17.410844,78.526563,207.66
Masab Tank,Independent House,1473,3,4,3,14,20,16,Fully Furnished,2,No,No,No,No,No,10.66,3.97,1.44,West,12 Hours,17.295393,78.55865,90.5
Quthbullapur,Apartment,1755,4,5,1,5,8,3,Unfurnished,2,Yes,Yes,No,No,No,8.04,3.58,9.73,North-East,24x7,17.337483,78.435053,85.6
